timestamp,date,time,event_type,zone,object_count,duration_seconds,screenshot_path
2026-05-09 20:07:08,2026-05-09,20:07:08,INTRUSION,Zone A,4,0.0,detections\INTRUSION_20260509_200708.png
2026-05-09 20:07:18,2026-05-09,20:07:18,LOITERING,Zone A,6,10.1,detections\LOITERING_20260509_200718.png
2026-05-09 20:07:28,2026-05-09,20:07:28,LOITERING,Zone A,5,12.0,detections\LOITERING_20260509_200728.png
2026-05-09 20:07:38,2026-05-09,20:07:38,LOITERING,Zone A,2,16.8,detections\LOITERING_20260509_200738.png
2026-05-09 20:07:48,2026-05-09,20:07:48,LOITERING,Zone A,1,26.8,detections\LOITERING_20260509_200748.png
2026-05-09 20:07:58,2026-05-09,20:07:58,LOITERING,Zone A,1,36.8,detections\LOITERING_20260509_200758.png
2026-05-09 20:33:38,2026-05-09,20:33:38,INTRUSION,Full Frame,1,0.0,detections\INTRUSION_20260509_203338.png
2026-05-09 20:33:58,2026-05-09,20:33:58,LOITERING,Full Frame,3,20.0,detections\LOITERING_20260509_203358.png
2026-05-09 20:34:19,2026-05-09,20:34:19,INTRUSION,Full Frame,1,0.0,detections\INTRUSION_20260509_203419.png
2026-05-09 20:51:43,2026-05-09,20:51:43,INTRUSION,Full Frame,1,0.0,detections\INTRUSION_20260509_205143.png
2026-05-09 20:52:03,2026-05-09,20:52:03,LOITERING,Full Frame,1,20.0,detections\LOITERING_20260509_205203.png
2026-05-10 12:36:09,2026-05-10,12:36:09,INTRUSION,Full Frame,1,0.0,detections\INTRUSION_20260510_123609.png
2026-05-10 12:36:29,2026-05-10,12:36:29,INTRUSION,Full Frame,1,0.0,detections\INTRUSION_20260510_123629.png
2026-05-10 12:36:49,2026-05-10,12:36:49,INTRUSION,Full Frame,1,2.4,detections\INTRUSION_20260510_123649.png
2026-05-10 13:04:04,2026-05-10,13:04:04,INTRUSION,Full Frame,1,0.0,detections\INTRUSION_20260510_130404.png
2026-05-10 13:04:24,2026-05-10,13:04:24,INTRUSION,Full Frame,1,6.0,detections\INTRUSION_20260510_130424.png
2026-05-10 13:04:44,2026-05-10,13:04:44,INTRUSION,Full Frame,1,0.0,detections\INTRUSION_20260510_130444.png
2026-05-10 13:15:38,2026-05-10,13:15:38,INTRUSION,Full Frame,1,0.0,detections\INTRUSION_20260510_131538.png
2026-05-10 13:18:36,2026-05-10,13:18:36,INTRUSION,Full Frame,1,0.0,detections\INTRUSION_20260510_131836.png
2026-05-10 13:18:56,2026-05-10,13:18:56,LOITERING,Full Frame,1,18.8,detections\LOITERING_20260510_131856.png
2026-05-10 13:19:43,2026-05-10,13:19:43,INTRUSION,Full Frame,1,0.0,detections\INTRUSION_20260510_131943.png
2026-05-10 13:20:03,2026-05-10,13:20:03,LOITERING,Full Frame,2,20.0,detections\LOITERING_20260510_132003.png
2026-05-10 13:20:23,2026-05-10,13:20:23,INTRUSION,Full Frame,1,3.7,detections\INTRUSION_20260510_132023.png
2026-05-12 22:11:41,2026-05-12,22:11:41,INTRUSION,Full Frame,1,0.0,detections\INTRUSION_20260512_221141.png
2026-05-12 22:13:34,2026-05-12,22:13:34,INTRUSION,Full Frame,1,0.0,detections\INTRUSION_20260512_221334.png
2026-05-12 22:14:50,2026-05-12,22:14:50,INTRUSION,Full Frame,1,0.0,detections\INTRUSION_20260512_221450.png
2026-05-12 22:15:10,2026-05-12,22:15:10,INTRUSION,Full Frame,1,8.4,detections\INTRUSION_20260512_221510.png
2026-05-12 22:15:35,2026-05-12,22:15:35,INTRUSION,Full Frame,1,0.0,detections\INTRUSION_20260512_221535.png
